"article_id","web","nazev_clanku","url","datum_publikace","typ_obsahu","oblast","hut_ids","chaty_objekty","zanikle_objekty_zminene","uzitecna_temata","povaha_zdroje","stav_zpracovani","poznamka","overeno_k"
"SRC-001","Seznam Zprávy","Horské boudy – tematický rozcestník","https://www.seznamzpravy.cz/tag/horske-chaty-119719","neuvedeno","tematický rozcestník","Česko","HUT-0001; HUT-0006; HUT-0002; HUT-0003; HUT-0012; HUT-0004; HUT-0014; HUT-0015; HUT-0007; HUT-0005","Luční bouda; Brádlerovy boudy; Labská bouda; Výrovka; Vrbatova bouda; Dvoračky; Vosecká bouda; Rýchorská bouda; Jelenka; Špindlerova bouda; Martinova bouda","","index článků; historie; regionální přehledy","redakční rozcestník","vytěženo","Výchozí bod pro systematické dohledání série a dalších regionálních přehledů.","2026-07-22"
"SRC-002","Seznam Zprávy","Horské chaty v Krkonoších: Tady je 12 nejlepších","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-krkonose-268769","2025-09-21","souhrnný článek","Krkonoše","HUT-0001; HUT-0004; HUT-0005; HUT-0014; HUT-0015; HUT-0016","Luční bouda; Vosecká bouda; Martinova bouda; Rýchorská bouda; Jelenka; Pomezní bouda; další","","historie; výška; kapacita; provoz; zajímavosti","redakční článek","vytěženo","","2026-07-22"
"SRC-003","Seznam Zprávy","Luční bouda měla být mega stavbou s tunelem pro řeku","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","2025-06-07","díl seriálu","Krkonoše","HUT-0001","Luční bouda","","historie; vlastníci; požár; válka; technický projekt; gastronomie","redakční článek","vytěženo","","2026-07-22"
"SRC-004","Seznam Zprávy","Brádlerovy boudy: Jako první tu visel hákový kříž. Po válce nesly jméno Julia Fučíka","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bradlerovy-boudy-historie-fotky-280785","2025-07-13","díl seriálu","Krkonoše","HUT-0006","Brádlerovy boudy","","historie; názvy; politika; počátky budního hospodářství","redakční článek","vytěženo","","2026-07-22"
"SRC-005","Seznam Zprávy","Z popela vyrostl betonový kolos. Labská bouda překonala snahy o zbourání a žije dál","https://www.seznamzpravy.cz/clanek/magazin-cestovani-labska-bouda-historie-281928","2025-07-20","díl seriálu","Krkonoše","HUT-0002","Labská bouda","","historie; požár; architektura; vlastnictví; pokus o demolici","redakční článek","vytěženo","","2026-07-22"
"SRC-006","Seznam Zprávy","Slavná krkonošská Výrovka mění provozovatele. Kdysi tu chytali pašeráky","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401","2025-07-27","díl seriálu","Krkonoše","HUT-0003","Chata Výrovka","","historie; pašeráctví; vojenský výcvik; požáry; architektura","redakční článek","vytěženo","","2026-07-22"
"SRC-007","Seznam Zprávy","Vrbatova bouda: příběh stavby na Zlatém návrší","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vrbatova-bouda-282731","2025-08-03","díl seriálu","Krkonoše","neuvedeno","Vrbatova bouda","","historie; Hanč a Vrbata; doprava; trasy; architektura","redakční článek","vytěženo","","2026-07-22"
"SRC-008","Seznam Zprávy","Krkonošské Dvoračky: V historii ubytovávaly Beneše, nyní jsou rájem pečených housek","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bouda-dvoracky-stumpovka-283330","2025-08-10","díl seriálu","Krkonoše","HUT-0012","Dvoračky","","historie; budní hospodářství; vlastníci; gastronomie; přestavba","redakční článek","vytěženo","","2026-07-22"
"SRC-009","Seznam Zprávy","Vosecká bouda je dodnes bez elektřiny. Žili tu podivíni i skvělí hospodáři","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vosecka-bouda-historie-283327","2025-08-17","díl seriálu","Krkonoše","HUT-0004","Vosecká bouda","","historie; názvy; energie; přístup; kapacita","redakční článek","vytěženo","","2026-07-22"
"SRC-010","Seznam Zprávy","Rýchorská bouda: Majitelku Němku po válce vyhnali. Místo zachránil KRNAP","https://www.seznamzpravy.cz/clanek/magazin-cestovani-rychorska-bouda-284486","2025-08-24","díl seriálu","Krkonoše","HUT-0014","Rýchorská bouda","","historie; KRNAP; rekonstrukce; ekologická výchova; Maxova bouda","redakční článek","vytěženo","","2026-07-22"
"SRC-011","Seznam Zprávy","Ta bouda je prokletá! Majiteli Jelenky dávali týden","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bouda-jelenka-krkonose-284859","2025-08-31","díl seriálu","Krkonoše","HUT-0015","Bouda Jelenka","","historie; názvy; vlastník; kapacita; poloha","redakční článek","vytěženo","","2026-07-22"
"SRC-012","Seznam Zprávy","Legendární Špindlerovka je dnes moderní hotel. Provoz nezastavily ani požáry","https://www.seznamzpravy.cz/clanek/magazin-cestovani-spindlerova-bouda-historie-283478","2025-09-07","díl seriálu","Krkonoše","HUT-0007","Špindlerova bouda","","historie; požáry; vlastníci; kapacita; doprava","redakční článek","vytěženo","","2026-07-22"
"SRC-013","Seznam Zprávy","Martinovka si zahrála ve filmu Sněženky a machři. Zdejší kamna jsou unikátní","https://www.seznamzpravy.cz/clanek/magazin-historie-martinova-bouda-krkonose-historie-majitel-285930","2025-09-14","díl seriálu","Krkonoše","HUT-0005","Martinova bouda","","historie; film; osobnosti; architektura; kapacita","redakční článek","vytěženo","","2026-07-22"
"SRC-014","Seznam Zprávy","Stoletý hotel na Pomezních Boudách přestavěli na apartmány, kino a kavárnu","https://www.seznamzpravy.cz/clanek/magazin-architektura-stolety-hotel-na-pomeznich-boudach-prestaveli-na-apartmany-kino-a-kavarnu-295801","2026-01-13","architektura / aktualita","Krkonoše","HUT-0016","Pomezní Boudy / Centrum Hořec","","přestavba; architektura; nové využití","redakční článek","vytěženo","","2026-07-22"
"SRC-015","Seznam Zprávy","Padly kvůli dřevomorce. Teď slavné Dvoračky na vrcholu Krkonoš otevřou v novém","https://www.seznamzpravy.cz/clanek/magazin-cestovani-padly-kvuli-drevomorce-ted-slavne-dvoracky-na-vrcholu-krkonos-otevrou-v-novem-293666","2025-12-19","aktualita","Krkonoše","HUT-0012","Dvoračky","","demolice staré stavby; novostavba; dřevomorka; otevření","redakční článek","vytěženo","","2026-07-22"
"SRC-016","Seznam Zprávy","Na Sněžku měla vést železnice, turistické kluby byly proti, říká historik","https://www.seznamzpravy.cz/clanek/magazin-historie-vlakem-na-snezku-byl-to-jeden-z-planu-ale-narazil-na-odpor-rika-historik-282506","2025-07-31","historie / rozhovor","Krkonoše","","Sněžka; historické boudy na Sněžce","Obří bouda; Česká bouda","historie dopravy; turistické spolky; boudy na Sněžce","redakční rozhovor","vytěženo","","2026-07-22"
"SRC-017","Seznam Zprávy","Nejen Pustevny. Znáte příběhy 10 proslulých horských chat v Beskydech?","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-beskydy-268613","2025-01-26","regionální přehled","Beskydy","","více objektů","","historie; architektura; požáry; provoz","redakční článek","částečně vytěženo","Do faktové tabulky byly převzaty jen jasně identifikovatelné údaje; článek je vhodný k dalšímu regionálnímu průchodu.","2026-07-22"
"SRC-018","Seznam Zprávy","Kramářova či Masarykova. Znáte 7 tradičních horských chat v Orlických horách?","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-orlicke-hory-268014","2025-01-16","regionální přehled","Orlické hory","","více objektů","","historie; architektura; požáry; provoz","redakční článek","částečně vytěženo","Do faktové tabulky byly převzaty jen jasně identifikovatelné údaje; článek je vhodný k dalšímu regionálnímu průchodu.","2026-07-22"
"SRC-019","Seznam Zprávy","Útulny ve stínu Pradědu: Znáte 8 tradičních horských chat v Jeseníkách?","https://www.seznamzpravy.cz/clanek/magazin-cestovani-chaty-jeseniky-264151","2024-12-23","regionální přehled","Jeseníky","","více objektů","","historie; architektura; požáry; provoz","redakční článek","částečně vytěženo","Do faktové tabulky byly převzaty jen jasně identifikovatelné údaje; článek je vhodný k dalšímu regionálnímu průchodu.","2026-07-22"
"SRC-020","Seznam Zprávy","Do jedné jezdil Ludvík Svoboda, jinou chtěli odstřelit. Znáte staré chaty v Jizerkách?","https://www.seznamzpravy.cz/clanek/magazin-cestovani-salavne-chaty-jizerske-hory-265217","2024-12-06","regionální přehled","Jizerské hory","","více objektů","","historie; architektura; požáry; provoz","redakční článek","částečně vytěženo","Do faktové tabulky byly převzaty jen jasně identifikovatelné údaje; článek je vhodný k dalšímu regionálnímu průchodu.","2026-07-22"
"SRC-021","Seznam Zprávy","Poznejte šumavské legendy: 7 nejznámějších chat v horách jihozápadních Čech","https://www.seznamzpravy.cz/clanek/magazin-cestovani-sumava-horske-chaty-265243","2024-11-27","regionální přehled","Šumava","","více objektů","","historie; architektura; požáry; provoz","redakční článek","částečně vytěženo","Do faktové tabulky byly převzaty jen jasně identifikovatelné údaje; článek je vhodný k dalšímu regionálnímu průchodu.","2026-07-22"
"SRC-022","Seznam Zprávy","Chrání pocestné už po staletí: 10 slavných horských bud a chat","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-boudy-cr-259313","2024-09-14","regionální přehled","Česko","","více objektů","","historie; architektura; požáry; provoz","redakční článek","částečně vytěženo","Do faktové tabulky byly převzaty jen jasně identifikovatelné údaje; článek je vhodný k dalšímu regionálnímu průchodu.","2026-07-22"
"SRC-023","Seznam Zprávy","V Jizerských horách začala demolice horské chaty na Smědavě","https://www.seznamzpravy.cz/clanek/v-jizerskych-horach-zacala-demolice-horske-chaty-na-smedave-176576","2021-10-06","aktualita / zánik stavby","Jizerské hory","HUT-0032","Horská chata Smědava","stará chata Smědava","demolice; rok výstavby; plán náhrady","agenturní zpráva ČTK","vytěženo","","2026-07-22"
"SRC-024","Kudy z nudy","Vydejte se do Krkonoš za příběhy kultovních horských bud","https://www.kudyznudy.cz/aktuality/pet-vyletu-na-hrebeny-krkonos-za-pribehy-kultovnic","neuvedeno","tematický článek","Krkonoše","HUT-0001; HUT-0003; HUT-0005; HUT-0027","Luční bouda; Martinova bouda; Hříběcí bouda; Výrovka; Chalupa Na Rozcestí","","historie; osobnosti; gastronomie; výška","oficiální turistický portál / redakční text","vytěženo","Automaticky sestavené Q&A na konci stránky nebylo použito jako samostatný zdroj.","2026-07-22"
"SRC-025","Kudy z nudy","Dvorská bouda v Krkonoších","https://www.kudyznudy.cz/aktivity/dvorska-bouda-v-krkonosich","neuvedeno","profil místa","Krkonoše","neuvedeno","Dvorská bouda","","historie; výška; kapacita; služby; doprava","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-026","Kudy z nudy","Richtrovy boudy v Peci pod Sněžkou","https://www.kudyznudy.cz/aktivity/rychtrovy-boudy-v-peci-pod-snezkou","neuvedeno","profil místa","Krkonoše","HUT-0028","Richtrovy boudy","","stav; vlastnictví; poloha","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-027","Kudy z nudy","Erlebachova bouda v Krkonoších – Resort Sv. František","https://www.kudyznudy.cz/aktivity/erlebachova-bouda-v-krkonosich","neuvedeno","profil místa","Krkonoše","HUT-0008","Erlebachova bouda","","výška; poloha; dostupnost","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-028","Kudy z nudy","Hrnčířské boudy v Krkonoších","https://www.kudyznudy.cz/aktivity/hrncirske-boudy-v-krkonosich","neuvedeno","profil místa","Krkonoše","HUT-0024","Hrnčířské boudy","","osada; poloha","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-029","Kudy z nudy","Petrova bouda ve Špindlerově Mlýně","https://www.kudyznudy.cz/aktivity/petrova-bouda-ve-spindlerove-mlyne","neuvedeno","profil místa","Krkonoše","HUT-0010","Petrova bouda","","historie; požár; novostavba","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-030","Kudy z nudy","Horský hotel Tetřeví boudy Krkonoše","https://www.kudyznudy.cz/aktivity/horsky-hotel-tetrevi-boudy-krkonose","neuvedeno","profil místa","Krkonoše","neuvedeno","Tetřeví boudy","","výška; služby","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-031","Kudy z nudy","Hotel Pražská bouda v Černém Dole","https://www.kudyznudy.cz/aktivity/hotel-prazska-bouda-v-cernem-dole","neuvedeno","profil místa","Krkonoše","HUT-0021","Pražská bouda","","poloha; lyžování","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-032","Kudy z nudy","Horský hotel Černá Bouda v Krkonoších","https://www.kudyznudy.cz/aktivity/horsky-hotel-cerna-bouda-v-krkonosich","neuvedeno","profil místa","Krkonoše","HUT-0023","Černá bouda","","poloha; služby","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-033","Kudy z nudy","Lysečinská bouda – pohoda v srdci Krkonoš","https://www.kudyznudy.cz/aktivity/lysicenska-bouda-pohoda-v-srdci-krkonos","neuvedeno","profil místa","Krkonoše","HUT-0030","Lysečinská bouda","","historie; kapacita; gastronomie; trasy","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-034","Kudy z nudy","Chata Výrovka","https://www.kudyznudy.cz/aktivity/chata-vyrovka","neuvedeno","profil místa","Krkonoše","HUT-0003","Chata Výrovka","","výška; ubytování; historie","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-035","Kudy z nudy","Vrbatova bouda","https://www.kudyznudy.cz/aktivity/vrbatova-bouda","neuvedeno","profil místa","Krkonoše","neuvedeno","Vrbatova bouda","","poloha; občerstvení; historie","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-036","Kudy z nudy","Horská bouda Dvoračky","https://www.kudyznudy.cz/aktivity/horska-bouda-dvoracky","neuvedeno","profil místa","Krkonoše","HUT-0012","Dvoračky","","historie; gastronomie; ubytování","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-037","Kudy z nudy","Běžkování či turistika v okolí Labské boudy","https://www.kudyznudy.cz/aktivity/bezkovani-ci-turistika-v-okoli-labske-boudy","neuvedeno","profil místa","Krkonoše","HUT-0002","Labská bouda","","trasy; ubytování; historie","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-038","Kudy z nudy","Vosecká bouda – nejzápadnější horská bouda na hranici","https://www.kudyznudy.cz/aktivity/vosecka-bouda-nejzapadnejsi-horska-bouda-na-hran","neuvedeno","profil místa","Krkonoše","HUT-0004","Vosecká bouda","","poloha; historie; služby","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-039","Kudy z nudy","Lyžařská bouda v Krkonoších","https://www.kudyznudy.cz/aktivity/lyzarska-bouda-v-krkonosich","neuvedeno","profil místa","Krkonoše","HUT-0020","Lyžařská bouda","","ubytování; lyžování","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-040","Kudy z nudy","Horská chata Portášky v Krkonoších","https://www.kudyznudy.cz/aktivity/horska-chata-portasky-v-krkonosich","neuvedeno","profil místa","Krkonoše","HUT-0017","Portášky","","ubytování; lanovka; trasy","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-041","Kudy z nudy","Moravská bouda ve Špindlerově Mlýně","https://www.kudyznudy.cz/aktivity/moravska-bouda-ve-spindlerove-mlyne","neuvedeno","profil místa","Krkonoše","HUT-0009","Moravská bouda","","ubytování; gastronomie; poloha","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-042","Kudy z nudy","Medvědí bouda ve Špindlerově Mlýně","https://www.kudyznudy.cz/aktivity/medvedi-bouda-ve-spindlerove-mlyne","neuvedeno","profil místa","Krkonoše","neuvedeno","Medvědí bouda","","ubytování; poloha","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-043","Kudy z nudy","Brádlerovy boudy v Krkonoších","https://www.kudyznudy.cz/aktivity/bradlerovy-boudy-v-krkonosich","neuvedeno","profil místa","Krkonoše","HUT-0006","Brádlerovy boudy","","ubytování; historie; poloha","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-044","Kudy z nudy","Bouda Bílé Labe v Krkonoších","https://www.kudyznudy.cz/aktivity/bouda-bile-labe-v-krkonosich","neuvedeno","profil místa","Krkonoše","HUT-0011","Bouda u Bílého Labe","","poloha; historie; ubytování","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-045","Kudy z nudy","Horský hotel Friesovy boudy ve Strážném","https://www.kudyznudy.cz/aktivity/horsky-hotel-friesovy-boudy-ve-straznem","neuvedeno","profil místa","Krkonoše","HUT-0025","Friesovy boudy","","výška; ubytování; služby","oficiální turistický portál / profil místa","indexováno","","2026-07-22"
"SRC-046","Krkonose.eu","Krkonošské boudy","https://www.krkonose.eu/krkonosske-boudy","neuvedeno","tematický rozcestník","Krkonoše","HUT-0011; HUT-0002; HUT-0005; HUT-0004; HUT-0014; HUT-0007; HUT-0030; HUT-0015; HUT-0003","Bouda u Bílého Labe; Labská; Martinova; Vosecká; Rýchorská; Špindlerova; Lysečinská; Jelenka; Výrovka; Andula; Trautenberk; Perlíček","","historie budního hospodářství; profily; přechody","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-047","Krkonose.eu","Historie regionu","https://www.krkonose.eu/historie-regionu","neuvedeno","regionální historie","Krkonoše","","boudy obecně","","osídlování; počátky turistiky; lyžování; Hanč a Vrbata","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-048","Krkonose.eu","Bouda u Bílého Labe","https://www.krkonose.eu/bouda-u-bileho-labe","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0011","Bouda u Bílého Labe","","historie; GPS; telefon","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-049","Krkonose.eu","Labská bouda","https://www.krkonose.eu/labska-bouda-0","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0002","Labská bouda","","historie; GPS; telefon; meteorologická stanice","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-050","Krkonose.eu","Martinova bouda","https://www.krkonose.eu/martinova-bouda","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0005","Martinova bouda","","historie; kapacita; GPS; film; osobnosti","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-051","Krkonose.eu","Vosecká bouda","https://www.krkonose.eu/vosecka-bouda","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0004","Vosecká bouda","","historie; názvy; energie; otevírací doba; GPS","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-052","Krkonose.eu","Rýchorská bouda","https://www.krkonose.eu/rychorska-bouda","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0014","Rýchorská bouda","","kapacita; GPS; příroda; farma","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-053","Krkonose.eu","Hotel Špindlerova Bouda","https://www.krkonose.eu/hotel-spindlerova-bouda-0","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0007","Špindlerova bouda","","historie; kapacita; GPS; doprava","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-054","Krkonose.eu","Lysečinská bouda","https://www.krkonose.eu/lysecinska-bouda","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0030","Lysečinská bouda","","historie; GPS; vlastní pivo","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-055","Krkonose.eu","Penzion Andula","https://www.krkonose.eu/penzion-andula-0","neuvedeno","profil místa","Krkonoše / Karkonosze","neuvedeno","Penzion Andula","","gastronomie; minipivovar; GPS","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-056","Krkonose.eu","Pivovar Trautenberk","https://www.krkonose.eu/pivovar-trautenberk-0","neuvedeno","profil místa","Krkonoše / Karkonosze","neuvedeno","Pivovar Trautenberk / bývalá Tippeltova bouda","","historické názvy; pivovar; kapacita; GPS","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-057","Krkonose.eu","Bouda Jelenka","https://www.krkonose.eu/bouda-jelenka","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0015","Bouda Jelenka","","historie; názvy; kapacita; GPS","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-058","Krkonose.eu","Chata Výrovka","https://www.krkonose.eu/chata-vyrovka","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0003","Chata Výrovka","","historie; kapacita; GPS","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-059","Krkonose.eu","Polské Krkonoše","https://www.krkonose.eu/en/node/2542","neuvedeno","profil místa","Krkonoše / Karkonosze","HUT-0218","Samotnia a další polská místa","","historie; výška; kontakty; polská strana","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-060","Krkonose.eu","Vyjádření Správy KRNAP a DMO Krkonoše ke kauze Luční bouda se zavírá","https://www.krkonose.eu/vyjadreni-spravy-krnap-dmo-krkonose-ke-kauze-lucni-bouda-se-zavira","2025-05-30","oficiální vyjádření","Krkonoše / Karkonosze","2025-05-30","Luční bouda","","aktuální provozní a institucionální kontext","oficiální destinační web","vytěženo","","2026-07-22"
"SRC-061","Časopis Turista","Vosecká bouda: Nekonečná energie v Krkonoších","https://casopisturista.cz/vosecka-bouda-nekonecna-energie-v-krkonosich-vosecka-bouda-meni-dieselagregat-za-fotovoltaiku-s-bateriovym-ulozistem/","2026-02-28","projekt / aktualita","Krkonoše","HUT-0004","Vosecká bouda","","fotovoltaika; baterie; emise; logistika paliva","časopis KČT / partnerský projekt","vytěženo","","2026-07-22"
"SRC-062","Časopis Turista","Turista 3/2026 – obsah čísla","https://casopisturista.cz/turista-3-2026/","2026-03-28","obsah čísla","Česko","","více témat","","index časopisu; odkaz na článek o Vosecké","časopis KČT","indexováno","","2026-07-22"
"SRC-063","Časopis Turista","Vydejte se na cesty a nocleh nechte na nás: Co nabízí rezervační systém KČT","https://casopisturista.cz/vydejte-se-na-cesty-a-nocleh-nechte-na-nas-co-nabizi-rezervacni-system-kct/","2024-10-06","projekt / služba","Česko","","chaty KČT obecně","","rezervace; etapové trasy; ubytování","časopis KČT","vytěženo","","2026-07-22"
